Characters,Meaning,Pronunciation
寓言,fable,yùyán
呼和浩特,"Hohhot prefecture-level city, capital of Inner Mongolia autonomous region 內蒙古自治區|内蒙古自治区[Nei4 meng3 gu3 Zi4 zhi4 qu1]",hūhéhàotè
不屑,to disdain to do sth; to think sth not worth doing; to feel it beneath one's dignity,bùxiè
交情,friendship; friendly relations,jiāoqing
夜总会,nightclub; nightspot,yèzǒnghuì
有朝一日,one day; sometime in the future,yǒuzhāoyīrì
顺手,easily; without trouble; while one is at it; in passing; handy,shùnshǒu
祸害,disaster; harm; scourge; bad person; to damage; to harm; to wreck,huòhài
丫头,"girl; servant girl; (used deprecatingly, but sometimes also as a term of endearment)",yātou
音量,sound volume,yīnliàng
轰轰烈烈,strong; vigorous; large-scale,hōnghōnglièliè
保暖,to stay warm; to protect against the cold,bǎonuǎn
刻苦,hardworking; assiduous,kèkǔ
公仆,public servant,gōngpú
近视,shortsighted; nearsighted; myopia,jìnshì
发炎,to become inflamed; inflammation,fāyán
考场,exam room,kǎochǎng
雷同,mirroring others; identical,léitóng
弄清,to clarify; to fully understand,nòngqīng
错综复杂,tangled and complicated (idiom),cuòzōngfùzá
权衡,to consider; to weigh (a matter); to balance (pros and cons),quánhéng
提速,to increase the specified cruising speed; to pick up speed; to speed up,tísù
稿子,draft of a document; script; manuscript; mental plan; precedent,gǎozi
反问,to ask (a question) in reply; to answer a question with a question; rhetorical question,fǎnwèn
转达,to pass on; to convey; to communicate,zhuǎndá
消遣,to while the time away; amusement; pastime; recreation; to make sport of,xiāoqiǎn
便秘,constipation; Taiwan pr. [bian4 bi4],biànmì
启迪,to edify; enlightenment,qǐdí
飞利浦,Philips (company),fēilìpǔ
真挚,sincere; sincerity,zhēnzhì
接通,to connect; to put through,jiētōng
船票,ship ticket,chuánpiào
脚印,footprint,jiǎoyìn
充沛,abundant; plentiful; vigorous,chōngpèi
身躯,body,shēnqū
预兆,omen; sign (of sth yet to occur); prior indication; to foreshadow,yùzhào
鞠躬,to bow; (literary) to bend down,jūgōng
致辞,"to express in words or writing; to make a speech (esp. short introduction, vote of thanks, afterword, funeral homily etc); to address (an audience); same as 致詞|致词",zhìcí
气泡,bubble; blister (in metal); (of beverages) sparkling; carbonated,qìpào
贫富,poor and rich,pínfù
汇合,confluence; to converge; to join; to fuse; fusion,huìhé
失恋,to lose one's love; to break up (in a romantic relationship); to feel jilted,shīliàn
乡亲,fellow countryman (from the same village); local people; villager; the folks back home,xiāngqīn
应酬,social niceties; social interaction; a dinner party,yìngchou
动听,pleasant to listen to,dòngtīng
粪便,excrement; feces; night soil,fènbiàn
住址,address,zhùzhǐ
香肠,sausage,xiāngcháng
闺女,maiden; unmarried woman; daughter,guīnǚ
随处可见,N/A,N/A
赛跑,race (running); to race (running),sàipǎo
围巾,scarf; shawl,wéijīn
父女,father and daughter,fùnǚ
响亮,loud and clear; resounding,xiǎngliàng
国有企业,nationalized business; state-owned business,guóyǒuqǐyè
耗时,time-consuming; to take a period of (x amount of time),hàoshí
情调,sentiment; tone and mood; taste,qíngdiào
劣质,shoddy; of poor quality,lièzhì
不耐烦,impatience; impatient,bùnàifán
蓬勃发展,N/A,N/A
床位,"bed (in hospital, hotel, train etc); berth; bunk",chuángwèi
主食,main food; staple (rice and noodles),zhǔshí
效仿,see 仿傚|仿效[fang3 xiao4],xiàofǎng
托运,to consign (goods); to check through (baggage),tuōyùn
本着,based on...; in conformance with..; taking as one's main principle,běnzhe
雷电,thunder and lightning,léidiàn
悬念,"suspense in a movie, play etc; concern for sb's welfare",xuánniàn
得体,appropriate to the occasion; fitting,détǐ
凶猛,fierce; violent; ferocious,xiōngměng
忽悠,to rock; to sway; to flicker (e.g. of lights reflected on water); to flutter (e.g. of a flag); to trick sb into doing sth; to dupe; to con,hūyou
月饼,mooncake (esp. for the Mid-Autumn Festival),yuèbǐng
望见,to espy; to spot,wàngjiàn
敬爱,respect and love,jìngài
国学,Chinese national culture; studies of ancient Chinese civilization; the Imperial College (history),guóxué
症结,hard lump in the abdomen (in Chinese medicine); crux of an issue; main point in an argument; sticking point; deadlock in negotiations,zhēngjié
过早,premature; untimely,guòzǎo
流淌,to flow,liútǎng
敬请,please (do sth) (deferential form),jìngqǐng
厄运,bad luck; misfortune; adversity,èyùn
忘不了,cannot forget,wàngbùliǎo
甲状腺,thyroid gland,jiǎzhuàngxiàn
慢慢来,take your time; take it easy,mànmànlái
直视,to look straight at,zhíshì
点缀,to decorate; to adorn; sprinkled; studded; only for show,diǎnzhuì
重量级,heavyweight (boxing etc),zhòngliàngjí
总的来说,generally speaking; to sum up; in summary; in short,zǒngdeláishuō
脊椎,vertebra; backbone,jǐzhuī
告示,announcement,gàoshi
坚韧,tough and durable; tenacious,jiānrèn
恩赐,favor; to give charity to sb out of pity,ēncì
顺势,to take advantage; to seize an opportunity; in passing; without taking extra trouble; conveniently,shùnshì
撤换,to dismiss and replace (sb); to replace (sb or sth),chèhuàn
选修,(at a school) to take as an elective; an elective; elective (subject),xuǎnxiū
缩影,miniature version of sth; microcosm; epitome; (Tw) to microfilm,suōyǐng
显赫,illustrious; celebrated,xiǎnhè
矿藏,mineral resources,kuàngcáng
公鸡,cock; rooster,gōngjī
打捞,to salvage; to dredge; to fish out (person or object from the sea),dǎlāo
歪曲,to distort; to misrepresent,wāiqū
黑马,dark horse; fig. unexpected winner,hēimǎ
着眼于,N/A,N/A
挟持,to seize,xiéchí
跳槽,to change jobs; job-hopping,tiàocáo
赶往,to hurry to (somewhere),gǎnwǎng
示意,to hint; to indicate (an idea to sb),shìyì
小看,to look down on; to underestimate,xiǎokàn
名著,masterpiece,míngzhù
下乡,to go to the countryside,xiàxiāng
懂事,sensible; thoughtful; intelligent,dǒngshì
冲撞,to collide; jerking motion; to impinge; to offend; to provoke,chōngzhuàng
背诵,to recite; to repeat from memory,bèisòng
渴求,to long for; to crave for; to greatly desire,kěqiú
钟头,hour,zhōngtóu
舒畅,happy; entirely free from worry,shūchàng
晴朗,sunny and cloudless,qínglǎng
伯父,father's elder brother; term of respect for older man,bófù
埋藏,to bury; to hide by burying; hidden,máicáng
鲜活,vivid; lively; (of food ingredients) live or fresh,xiānhuó
喘息,to gasp for breath; to take a breather,chuǎnxī
音像,audio and video; audiovisual,yīnxiàng
河畔,riverside; river plain,hépàn
倒计时,to count down; countdown,dàojìshí
不以为然,not to accept as correct (idiom); to object; to disapprove; to take exception to,bùyǐwéirán
斩断,to cut off; to chop sth in half,zhǎnduàn
周密,careful; thorough; meticulous; dense; impenetrable,zhōumì
仰望,to look up at; to look up to sb hopefully,yǎngwàng
接送,picking up and dropping off; greeting and sending off; shuttle (transport service),jiēsòng
开水,boiled water; boiling water,kāishuǐ
韧性,toughness,rènxìng
石膏,gypsum CaSO4·2(H2O); plaster; plaster cast (for a broken bone),shígāo
演艺圈,show business,yǎnyìquān
当之无愧,"fully deserving, without any reservations (idiom); entirely worthy (of a title, honor etc)",dāngzhīwúkuì
朗读,to read aloud,lǎngdú
省略,to leave out; an omission,shěnglüè
铺路,to pave (with paving stones); to lay a road; (fig.) to lay the groundwork (for sth); to give a present to sb to ensure success,pūlù
境遇,circumstance,jìngyù
奶牛,milk cow; dairy cow,nǎiniú
知己,to know oneself; to be intimate or close; intimate friend,zhījǐ
粗略,rough (not precise or accurate); cursory,cūlüè
钻进,"to get into; to dig into (studies, job etc); to squeeze into",zuānjìn
钦佩,to admire; to look up to; to respect sb greatly,qīnpèi
管用,efficacious; useful,guǎnyòng
衬衣,shirt,chènyī
指教,to give advice or comments,zhǐjiào
藏品,museum piece; collector's item; precious object,cángpǐn
招待会,reception,zhāodàihuì
老太婆,old woman (at times contemptuous),lǎotàipó
少不了,cannot do without; to be unavoidable; are bound to be many,shǎobuliǎo
过半,over fifty percent; more than half,guòbàn
楷模,model; example,kǎimó
催促,to urge,cuīcù
荧光,fluorescence; fluorescent,yíngguāng
布莱尔,Blair (name),bùláiěr
端正,upright; regular; proper; correct,duānzhèng
看得起,to show respect for; to think highly of,kàndeqǐ
争光,to win an honor; to strive to win a prize,zhēngguāng
读音,pronunciation; literary (rather than colloquial) pronunciation of a Chinese character,dúyīn
绿茶,green tea,lǜchá
不景气,slack; in a slump,bùjǐngqì
得力,able; capable; competent; efficient,délì
特价,special price,tèjià
国徽,the national emblem of the PRC (a red circle containing the five stars of the PRC flag over Tiananmen 天安門|天安门[Tian1 an1 men2]),guóhuī
写字楼,office building,xiězìlóu
凝视,to gaze at; to fix one's eyes on,níngshì
兴奋剂,stimulant; doping (in athletics),xīngfènjì
一天到晚,all day long; the whole day,yītiāndàowǎn
窍门,a trick; an ingenious method; know-how; the knack (of doing sth),qiàomén
就诊,to see a doctor; to seek medical advice,jiùzhěn
预赛,preliminary competition; to hold preliminary heats,yùsài
缘分,fate or chance that brings people together; predestined affinity or relationship; (Budd.) destiny,yuánfèn
掉头,to turn one's head; to turn round; to turn about,diàotóu
疼爱,to love dearly,téngài
藏匿,to cover up; to conceal; to go into hiding,cángnì
拜拜,(loanword) bye-bye; also pr. [bai1 bai1] etc; (coll.) to part ways (with sb); (fig.) to have nothing further to do (with sb or sth),báibái
外币,foreign currency,wàibì
随时随地,anytime and anywhere,suíshísuídì
钢笔,fountain pen,gāngbǐ
比萨,"Pisa, town in Toscana, Italy",bǐsà
流露,"to reveal (indirectly, implicitly); to show (interest, contempt etc) by means of one's actions, tone of voice etc",liúlù
探亲,to go home to visit one's family,tànqīn
纬度,latitude,wěidù
媲美,to match; is comparable with,pìměi
冰山,iceberg,bīngshān
脱节,to come apart,tuōjié
劝阻,to advise against; to dissuade,quànzǔ
大猩猩,gorilla,dàxīngxing
木匠,carpenter,mùjiàng
白板,whiteboard; tabula rasa; blank slate,báibǎn
新房,brand new house; bridal chamber,xīnfáng
老实说,"honestly speaking; to be frank, ...",lǎoshíshuō
世故,the ways of the world,shìgù
傻逼,,shǎbī
低谷,valley; trough (as opposed to peaks); fig. low point; lowest ebb; nadir of one's fortunes,dīgǔ
新陈代谢,metabolism (biology); the new replaces the old (idiom),xīnchéndàixiè
工作量,workload; volume of work,gōngzuòliàng
血浆,blood plasma,xuèjiāng
狂欢节,carnival,kuánghuānjié
高傲,arrogant; haughty; proud,gāoào
恩惠,favor; grace,ēnhuì
薯条,french fries; french fried potatoes; chips,shǔtiáo
孝顺,filial; dutiful; devoted to one's parents (and grandparents etc); to show filial piety towards (an older family member); filial piety,xiàoshùn
野餐,picnic; to have a picnic,yěcān
枯燥,dry and dull; uninteresting; dry-as-dust,kūzào
冷落,desolate; unfrequented; to treat sb coldly; to snub; to cold shoulder,lěngluò
箭头,arrowhead; arrow symbol,jiàntóu
一塌糊涂,muddled and completely collapsing (idiom); in an awful condition; complete shambles; a total mess,yītāhútu
飞碟,flying saucer; frisbee,fēidié
羞涩,shy; bashful,xiūsè
暴躁,irascible; irritable; violent,bàozào
宝库,"treasure-house; treasury; treasure-trove (often fig., book of treasured wisdom)",bǎokù
无所事事,to have nothing to do; to idle one's time away (idiom),wúsuǒshìshì
做客,to be a guest or visitor,zuòkè
炎症,inflammation,yánzhèng
妒忌,to be jealous of (sb's achievements etc); to be envious; envy,dùjì
和平共处,"peaceful coexistence of nations, societies etc",hépínggòngchǔ
戈壁,Gobi (desert),gēbì
隐约,vague; faint; indistinct,yǐnyuē
复印,to photocopy; to duplicate a document,fùyìn
茅台,"Maotai town in Renhuai county, Guizhou; Maotai liquor 茅臺酒|茅台酒",máotái
互信,mutual trust,hùxìn
难以想象,N/A,N/A
挑剔,picky; fussy,tiāoti
新闻发布会,news conference,xīnwénfābùhuì
阅历,to experience; experience,yuèlì
黑板,blackboard,hēibǎn
倔强,stubborn; obstinate; unbending,juéjiàng
诱饵,bait,yòuěr
车展,motor show,chēzhǎn
专著,monograph; specialized text,zhuānzhù
去处,place; destination,qùchù
白菜,Chinese cabbage; pak choi,báicài
扇子,fan,shànzi
休克,shock (loanword); to go into shock,xiūkè
电灯,electric light,diàndēng
补课,to make up missed lesson; to reschedule a class,bǔkè
由衷,heartfelt; sincere; unfeigned,yóuzhōng
自责,to blame oneself,zìzé
售票,N/A,N/A
光碟,optical disc; compact disc; CD; CD-ROM,guāngdié
管教,to discipline; to teach; to guarantee,guǎnjiào
公厕,public toilet,gōngcè
自始至终,from start to finish (idiom),zìshǐzhìzhōng
稳重,steady; earnest; staid,wěnzhòng
水壶,kettle; canteen; watering can,shuǐhú
猛然,suddenly; abruptly,měngrán
碰巧,by chance; by coincidence; to happen to,pèngqiǎo
照常,as usual,zhàocháng
交响乐,symphony,jiāoxiǎngyuè
偷窥,to peep; to peek; to act as voyeur,tōukuī
适量,appropriate amount,shìliàng
蜜月,honeymoon,mìyuè
颜面,face; prestige,yánmiàn
泄密,to leak secrets,xièmì
歇斯底里,hysteria (loanword); hysterical,xiēsīdǐlǐ
疏导,to dredge; to open up a path for; to remove obstructions; to clear the way; to enlighten; persuasion,shūdǎo
凑合,to bring together; to make do in a bad situation; to just get by; to improvise; passable; not too bad,còuhe
节俭,frugal; economical,jiéjiǎn
出人意料,unexpected (idiom); surprising,chūrényìliào
稀奇,rare; strange,xīqí
两栖,amphibious; dual-talented; able to work in two different lines,liǎngqī
空隙,crack; gap between two objects; gap in time between two events,kòngxì
免疫力,immunity,miǎnyìlì
别扭,awkward; difficult; uncomfortable; not agreeing; at loggerheads; gauche,bièniu
毅然,firmly; resolutely; without hesitation,yìrán
须知,key information; instructions; it must be borne in mind,xūzhī
急诊,emergency call; emergency (medical) treatment,jízhěn
零下,below zero,língxià
上流,upper class,shàngliú
未免,unavoidably; can't help; really; rather,wèimiǎn
晒太阳,to be in the sun (getting warm or sunbathing etc); to put sth in the sun (e.g. to dry it),shàitàiyáng
胆固醇,cholesterol,dǎngùchún
焕发,to shine; to glow; to irradiate; to flash,huànfā
旺季,busy season; peak period; see also 淡季[dan4 ji4],wàngjì
内需,domestic demand,nèixū
动感,sense of movement (often in a static work of art); dynamic; vivid; lifelike,dònggǎn
上楼,to go upstairs,shànglóu
一成不变,nothing much changes (idiom); always the same; stuck in a rut,yīchéngbùbiàn
摆动,to sway; to swing; to move back and forth; to oscillate,bǎidòng
豆子,bean; pea,dòuzi
淘气,naughty; mischievous,táoqì
侦破,to investigate (as detective); to solve (crime); to uncover (a plot); to sniff out; to break in and analyze; detective work; to scout,zhēnpò
新潮,modern; fashionable,xīncháo
哀求,to entreat; to implore; to plead,āiqiú
常理,common sense; conventional reasoning and morals,chánglǐ
得益于,N/A,N/A
朴实,plain; simple; guileless; down-to-earth; sincere and honest,pǔshí
附和,to agree; to go along with; to echo (what sb says),fùhè
大跃进,"Great Leap Forward (1958-1960), Mao's attempt to modernize China's economy, which resulted in economic devastation, and millions of deaths from famine caused by misguided policies",dàyuèjìn
疏通,to unblock; to dredge; to clear the way; to get things flowing; to facilitate; to mediate; to lobby; to explicate (a text),shūtōng
刺绣,to embroider; embroidery,cìxiù
熟睡,asleep; sleeping soundly,shúshuì
机灵,clever; quick-witted,jīling
酒楼,restaurant,jiǔlóu
叫好,to applaud; to cheer,jiàohǎo
喧闹,to make a noise; noisy,xuānnào
毛衣,(wool) sweater,máoyī
杂技,acrobatics,zájì
放肆,wanton; unbridled; presumptuous; impudent,fàngsì
坦然,calm; undisturbed,tǎnrán
杀毒,N/A,N/A
剩女,"""leftover woman"" (successful career woman who has remained single)",shèngnǚ
初等,elementary (i.e. easy),chūděng
押金,deposit; down payment,yājīn
空想,daydream; fantasy; to fantasize,kōngxiǎng
供求,supply and demand (economics),gōngqiú
竟敢,to have the impertinence; to have the cheek to,jìnggǎn
敷衍,to elaborate (on a theme); to expound (the classics); perfunctory; to skimp; to botch; to do sth half-heartedly or just for show; barely enough to get by,fūyǎn
唠叨,to prattle; to chatter away; to nag; garrulous; nagging,láodao
不慎,incautious; inattentive,bùshèn
回首,to turn around; to look back; to recollect,huíshǒu
仇人,foe; one's personal enemy,chóurén
小腿,lower leg (from knee to ankle); shank,xiǎotuǐ
汹涌,"to surge up violently (of ocean, river, lake etc); turbulent",xiōngyǒng
理直气壮,in the right and self-confident (idiom); bold and confident with justice on one's side; to have the courage of one's convictions; just and forceful,lǐzhíqìzhuàng
丰硕,plentiful; substantial; rich (in resources etc),fēngshuò
嘲弄,to tease; to poke fun at; to make fun of,cháonòng
肝癌,liver cancer,gānái
情不自禁,unable to restrain emotions; cannot help,qíngbùzìjīn
减压,to reduce pressure; to relax,jiǎnyā
颇有,N/A,N/A
袖手旁观,to watch with folded arms (idiom); to look on without lifting a finger,xiùshǒupángguān
一帆风顺,propitious wind throughout the journey (idiom); plain sailing; to go smoothly; have a nice trip!,yīfānfēngshùn
纵观,to survey comprehensively; an overall survey,zòngguān
伸缩,to lengthen and shorten; flexible; adjustable; retractable; extensible; telescoping (collapsible),shēnsuō
中国画,Chinese painting,zhōngguóhuà
伙食,food; meals,huǒshí
污秽,nasty; sordid; filthy,wūhuì
二手车,second-hand car,èrshǒuchē
吉普,Jeep (car brand),jípǔ
把关,to guard a pass; to check on sth,bǎguān
掏钱,N/A,N/A
客流,N/A,N/A
职业病,occupational disease,zhíyèbìng
一把手,working hand; member of a work team; participant; (short form of 第一把手[di4 yi1 ba3 shou3]) the boss,yībǎshǒu
乞求,to beg,qǐqiú
赶忙,to hurry; to hasten; to make haste,gǎnmáng
沉稳,steady; calm; unflustered,chénwěn
运动鞋,sports shoes; sneakers,yùndòngxié
外企,"foreign enterprise; company established in mainland China with direct investment from foreign entities or from investors in Taiwan, Macao or Hong Kong; abbr. for 外資企業|外资企业",wàiqǐ
励志,to encourage; encouragement,lìzhì
开动,to start; to set in motion; to move; to march; to dig in (eating); to tuck in (eating),kāidòng
忧愁,to be worried,yōuchóu
察看,to watch; to look carefully at,chákàn
录音机,(tape) recording machine; tape recorder,lùyīnjī
竞相,competitive; eagerly; to vie,jìngxiāng
退让,to move aside; to get out of the way; to back down; to concede,tuìràng
对得起,not to let sb down; to treat sb fairly; be worthy of,duìdeqǐ
疗养,to get well; to heal; to recuperate; to convalesce; convalescence; to nurse,liáoyǎng
门路,way of doing sth; the right social connection,ménlù
得手,to go smoothly; to come off; to succeed,déshǒu
答辩,to reply (to an accusation); to defend one's dissertation,dábiàn
预售,advance sale; to sell in advance; to book,yùshòu
庸俗,vulgar; tacky; tawdry,yōngsú
汪洋,vast body of water,wāngyáng
口令,oral command; a word of command (used in drilling troops or gymnasts); password (used by sentry),kǒulìng
爽快,refreshed; rejuvenated; frank and straightforward,shuǎngkuai
同感,(have the) same feeling; similar impression; common feeling,tónggǎn
第一手,first-hand,dìyīshǒu
衰弱,weak; feeble,shuāiruò
办不到,impossible; can't be done; no can do; unable to accomplish,bànbudào
过硬,to have perfect mastery of sth; to be up to the mark,guòyìng
喜庆,jubilation; festive,xǐqìng
母鸡,hen,mǔjī
东道主,host; official host (e.g. venue for games or a conference),dōngdàozhǔ
岳母,"wife's mother, mother-in-law",yuèmǔ
爆满,"filled to capacity (of theater, stadium, gymnasium etc)",bàomǎn
封顶,"to put a roof (on a building); to cap the roof (finishing a building project); fig. to put a ceiling (on spending, prize, ambition etc); to top off; fig. to reach the highest point (of growth, profit, interest rates); to stop growing (of plant bud or branch)",fēngdǐng
算账,(accounting) to balance the books; to do the accounts; (fig.) to settle an account; to get one's revenge,suànzhàng
破旧,shabby,pòjiù
超速,to exceed the speed limit; to speed; high-speed,chāosù
手术室,N/A,N/A
强项,key strength; strong suit; specialty,qiángxiàng
打雷,to rumble with thunder; clap of thunder,dǎléi
容颜,mien; complexion,róngyán
惋惜,to regret; to feel that it is a great pity; to feel sorry for sb,wǎnxī
理发,a barber; hairdressing,lǐfà
激化,N/A,N/A
日复一日,day after day,rìfùyīrì
间隙,interval; gap; clearance,jiànxì
脸庞,face,liǎnpáng
留恋,reluctant to leave; to hate to have to go; to recall fondly,liúliàn
苦涩,bitter and astringent; pained; agonized,kǔsè
害虫,injurious insect; pest,hàichóng
脊髓,spinal cord; medulla spinalis,jǐsuǐ
似曾相识,déjà vu (the experience of seeing exactly the same situation a second time); seemingly familiar; apparently already acquainted,sìcéngxiāngshí
警钟,alarm bell,jǐngzhōng
观感,one's impressions; observations,guāngǎn
焦急,anxiety; anxious,jiāojí
发愁,to worry; to fret; to be anxious; to become sad,fāchóu
畜牧业,animal husbandry; stock raising; livestock raising,xùmùyè
慌乱,frenetic; hurried,huāngluàn
隔开,to separate,gékāi
伤疤,scar,shāngbā
雷雨,thunderstorm,léiyǔ
竭尽全力,to spare no effort (idiom); to do one's utmost,jiéjìnquánlì
红茶,black tea,hóngchá
麻辣,hot and numbing,málà
名副其实,"not just in name only, but also in reality (idiom); aptly named; worthy of the name",míngfùqíshí
起程,to set out; to leave,qǐchéng
耽搁,to tarry; to delay; to stop over,dānge
拉链,zipper,lāliàn
缆车,cable car,lǎnchē
工科,engineering as an academic subject,gōngkē
阻拦,to stop; to obstruct,zǔlán
凶残,savage; cruel; fierce,xiōngcán
通畅,unobstructed; clear,tōngchàng
深奥,profound; abstruse; recondite; profoundly,shēnào
恩怨,gratitude and grudges; resentment; grudges; grievances,ēnyuàn
喝彩,to acclaim; to cheer,hècǎi
韵味,implicit charm in rhyme or sound; hinted appeal; interest,yùnwèi
迁就,to yield; to adapt to; to accommodate to (sth),qiānjiù
边远,far from the center; remote; outlying,biānyuǎn
四面八方,in all directions; all around; far and near,sìmiànbāfāng
坚持不懈,to persevere unremittingly (idiom); to keep going until the end,jiānchíbùxiè
正品,certified goods; quality product; normal product; A-class goods,zhèngpǐn
看台,terrace; spectator's grandstand; viewing platform,kàntái
聘任,to appoint (to a position); appointed,pìnrèn
盘算,to plot; to scheme; to calculate,pánsuàn
下海,"to go out to sea; to enter the sea (to swim etc); (fig.) to take the plunge (e.g. leave a secure job, or enter prostitution etc)",xiàhǎi
啊哈,N/A,N/A
宽敞,spacious; wide,kuānchang
前头,in front; at the head; ahead; above,qiántou
吃苦,to bear hardships,chīkǔ
珍视,to place great importance on; to treasure,zhēnshì
情绪化,emotional; sentimental,qíngxùhuà
打官司,to file a lawsuit; to sue; to dispute,dǎguānsi
扁平,flat; planar,biǎnpíng
日新月异,"daily renewal, monthly change (idiom); every day sees new developments; rapid progress",rìxīnyuèyì
独身,unmarried; single,dúshēn
松绑,to untie; (fig.) to ease restrictions,sōngbǎng
祥和,auspicious and peaceful,xiánghé
绷带,bandage (loanword),bēngdài
岁数,age (number of years old),suìshu
建树,to make a contribution; to establish; to found; contribution,jiànshù
僵化,to become rigid,jiānghuà
嫁妆,dowry,jiàzhuang
倒车,"to change buses, trains etc",dǎochē
仿制,to copy; to imitate; to make by imitating a model,fǎngzhì
疑点,a doubtful point,yídiǎn
山川,N/A,N/A
隐性,hidden; crypto-; recessive (gene),yǐnxìng
煎饼,"jianbing, a savory Chinese crêpe; pancake",jiānbǐng
特例,special case; isolated example,tèlì
太极拳,"shadowboxing or Taiji, T'aichi or T'aichichuan; traditional form of physical exercise or relaxation; a martial art",tàijíquán
争气,to work hard for sth; to resolve on improvement; determined not to fall short,zhēngqì
闹市,downtown area; city center,nàoshì
巡警,police patrol; patrol officer; police officer (old),xúnjǐng
自力更生,regeneration through one's own effort (idiom); self-reliance,zìlìgēngshēng
衰减,to weaken; to attenuate,shuāijiǎn
免不了,unavoidable; can't be avoided,miǎnbùliǎo
伸张,to uphold (e.g. justice or virtue); to promote,shēnzhāng
毫升,milliliter,háoshēng
轮换,to rotate; to take turns; to switch,lúnhuàn
唾液,saliva,tuòyè
高估,to overestimate; to overrate,gāogū
擦干,to wipe dry,cāgān
解围,to lift a siege; to help sb out of trouble or embarrassment,jiěwéi
停泊,to anchor; anchorage; mooring (of a ship),tíngbó
歉意,apology; regret,qiànyì
儿科,pediatrics,érkē
用功,diligent; industrious (in one's studies); to study hard; to make great effort,yònggōng
缤纷,vast and various; rich and diverse,bīnfēn
霍乱,cholera,huòluàn
健壮,robust; healthy; sturdy,jiànzhuàng
站住,to stand,zhànzhù
狼狈,in a difficult situation; to cut a sorry figure; scoundrel! (derog.),lángbèi
共性,overall character,gòngxìng
透气,to flow freely (of air); to ventilate; to breathe (of fabric etc); to take a breath of fresh air; to divulge,tòuqì
旗袍,Chinese-style dress; cheongsam,qípáo
专柜,sales counter dedicated to a certain kind of product (e.g. alcohol),zhuānguì
药方,prescription,yàofāng
半路,halfway; midway; on the way,bànlù
来龙去脉,the rise and fall of the terrain (idiom); (fig.) the whole sequence of events; causes and effects,láilóngqùmài
应有尽有,everything that should be here is here (idiom); all one can think of is on hand; to have all one needs,yīngyǒujìnyǒu
佳节,festive day; holiday,jiājié
荆棘,thistles and thorns; brambles; thorny undergrowth,jīngjí
亲朋好友,friends and family; kith and kin,qīnpénghǎoyǒu
出难题,to raise a tough question,chūnántí
小曲,popular song; folk tune; ballad,xiǎoqǔ
手雷,grenade,shǒuléi
痴呆,imbecility; dementia,chīdāi
一目了然,obvious at a glance (idiom),yīmùliǎorán
遮盖,to hide; to cover (one's tracks),zhēgài
半场,half of a game or contest; half-court,bànchǎng
爬山,to climb a mountain; to mountaineer; hiking; mountaineering,páshān
重播,to replay; to rerun; (agriculture) to reseed; to oversow,chóngbō
沉着,steady; calm and collected; not nervous,chénzhuó
恩人,a benefactor; a person who has significantly helped sb else,ēnrén
连忙,promptly; at once,liánmáng
回味,to reflect on; to ponder over; aftertaste,huíwèi
官僚主义,bureaucracy,guānliáozhǔyì
嫌弃,to regard with disdain; to shun,xiánqì
闹钟,alarm clock,nàozhōng
机舱,cabin of a plane,jīcāng
知足,content with one's situation; to know contentment (hence happiness),zhīzú
表率,example; model,biǎoshuài
赶赴,to hurry; to rush,gǎnfù
出汗,to perspire; to sweat,chūhàn
略微,a little bit; slightly,lüèwēi
裂痕,crack; gap; split,lièhén
亮丽,bright and beautiful,liànglì
修车,to repair a bike (car etc),xiūchē
淀粉,starch; amylum C6H10O5,diànfěn
小费,tip; gratuity,xiǎofèi
牵挂,to worry about; to be concerned about,qiānguà
不由自主,can't help; involuntarily (idiom),bùyóuzìzhǔ
修长,slender; lanky; tall and thin,xiūcháng
偷懒,to goof off; to be lazy,tōulǎn
韧带,ligament,rèndài
艾特,"at symbol, @",àitè
恼火,to get angry; irritated; to annoy; to aggravate; annoying,nǎohuǒ
眼红,to covet; envious; jealous; green with envy; infuriated; furious,yǎnhóng
退票,to bounce (a check); to return a ticket; ticket refund,tuìpiào
由此看来,N/A,N/A
恰巧,fortunately; unexpectedly; by coincidence,qiàqiǎo
丰富多彩,richly colorful,fēngfùduōcǎi
苦力,"bitter work; hard toil; (loanword) coolie, unskilled Chinese laborer in colonial times",kǔlì
夜市,night market,yèshì
茫茫,boundless; vast and obscure,mángmáng
路况,"road condition(s) (e.g. surface, traffic flow etc)",lùkuàng
摇摇欲坠,tottering; on the verge of collapse,yáoyáoyùzhuì
突破口,N/A,N/A
威慑,to cower by military force; deterrence,wēishè
游人,a tourist,yóurén
国画,traditional Chinese painting,guóhuà
暴利,sudden huge profits,bàolì
眨眼,to blink; to wink; in the twinkling of an eye,zhǎyǎn
垫底,N/A,N/A
刷牙,to brush one's teeth,shuāyá
失传,(of skills etc) to die out; lost; extinct,shīchuán
虚荣,vanity,xūróng
微波炉,microwave oven,wēibōlú
恶性循环,vicious circle,èxìngxúnhuán
赞许,to praise; to laud,zànxǔ
公费,at public expense,gōngfèi
园地,garden area,yuándì
拉锁,zipper,lāsuǒ
醒悟,to come to oneself; to come to realize; to come to see the truth; to wake up to reality,xǐngwù
渺小,minute; tiny; negligible; insignificant,miǎoxiǎo
健美,healthy and beautiful; to do fitness exercises; abbr. for 健美運動|健美运动[jian4 mei3 yun4 dong4],jiànměi
残缺,badly damaged; shattered,cánquē
